FromStationName,ToStationName,Month,Year,SUM_Values_Pass
הוד השרון,לוד גני אביב,2,2026,11
יבנה מזרח,חולון וולפסון,2,2026,7
כפר חבד,חיפה מרכז,2,2026,66
מודיעין מרכז,יבנה מזרח,2,2026,33
קרית חיים,נתניה קריית ספיר,2,2026,108
אשקלון,אשדוד עד הלום,2,2026,16058
הוד השרון,רעננה דרום,2,2026,103
נתניה,עפולה,2,2026,172
"נתב""ג",בית יהושע,2,2026,2248
חוצות מפרץ,כפר חבד,2,2026,29
אשדוד עד הלום,קיסריה פרדס חנה,2,2026,437
בית שמש,חוצות מפרץ,2,2026,65
רעננה מערב,באר שבע צפון,2,2026,300
כפר ברוך,הוד השרון,2,2026,17
אשקלון,הרצליה,2,2026,2788
ראש העין צפון,קרית אריה,2,2026,1962
להבים רהט,דימונה,2,2026,5
קרית אריה,ראשונים,2,2026,19
רעננה דרום,תל אביב מרכז,2,2026,1331
נתיבות,קרית מוצקין,2,2026,111
בנימינה,חיפה מרכז,2,2026,2505
אופקים,שדרות,2,2026,1006
בת גלים,אופקים,2,2026,71
חוף הכרמל,קרית חיים,2,2026,701
פאתי מודיעין,צומת חולון,2,2026,44
קרית מלאכי,הרצליה,2,2026,582
מזכרת בתיה,קרית חיים,2,2026,29
ראשונים,נתניה קריית ספיר,2,2026,81
כפר סבא,מזכרת בתיה,2,2026,111
בת ים יוספטל,שדרות,2,2026,496
קרית מוצקין,קרית מלאכי,2,2026,218
מודיעין מרכז,כפר חבד,2,2026,109
להבים רהט,בני ברק,2,2026,81
בת ים יוספטל,"רשל""צ משה דיין",2,2026,1388
נתניה קריית ספיר,מרכזית המפרץ/קו החוף,2,2026,682
בני ברק,חיפה מרכז,2,2026,96
נתניה,כפר ברוך,2,2026,44
סגולה,צומת חולון,2,2026,173
